objectid,filename,title,creator,date,description,subject,location,identifier,type,format
coll001,thingamabob.jpeg,Thingamabob Book Recommendation Photo,Anneliese Trainer,2022-02-08,"Photograph of Anneliese promoting the picture book ""Thingamabob"" by Marianna Cooper for Calvert Library's social media.",recommendations;Calvert Library;promotion;childrens,"Chesapeake Beach, Maryland",id0001,Image;StillImage,image/jpeg
coll002,bookmobile.jpeg,Calvert Library Book Mobile Ribbon Cutting,Anneliese Trainer,2021-11-09,"Photograph of the Calvert Library Book Mobile ribbon cutting at the Harriet Brown Community Center in Prince Frederick, Maryland.",Book Mobile;Calvert Library;outreach;promotion,"Prince Frederick, Maryland",id0002,Image;StillImage,image/jpeg
coll003,popupbooksdisplay.jpeg,Pop Up Book Display,Anneliese Trainer,2021-09-18,Photograph of a book display highlighting children's pop up books at Calvert Library Prince Frederick.,Calvert Library;displays;promotion;childrens,"Prince Frederick, Maryland",id0003,Image;StillImage,image/jpeg
coll004,librariesrockbulletinboard.jpeg,Libraries Rock Bulletin Board,Anneliese Trainer,2018-08-30,"Interactive children's bulletin board  promoting 2018's Summer Reading ""Libraries Rock"" theme in Calvert Library Prince Frederick. ",summer reading;bulletin boards;Calvert Library;activities;childrens,"Prince Frederick, Maryland",id0004,Image;StillImage,image/jpeg
coll005,woollymammoth.jpeg,How to Wash a Woolly Mammoth Book Recommendation Photo,Anneliese Trainer,2021-04-27,"Photograph of Anneliese promoting the picture book ""How to Wash a Woolly Mammoth"" by ____ for Calvert Library's social media.",childrens;recommendations;Calvert Library;promotion,"Prince Frederick, Maryland",id0005,Image;StillImage,image/jpeg
coll006,slayingvampires.jpeg,The Southern Book Club's Guide to Slaying Vampires Book Recommendation Photo,Anneliese Trainer,2021-07-20,"Photograph of Anneliese promoting the adult novel ""The Southern Book Club's Guide to Slaying Vampires"" by Grady Hendrix for Calvert Library's social media.",adult;recommendations;Calvert Library;promotion;podcasts,"Prince Frederick, Maryland",id0006,Image;StillImage,image/jpeg
coll007,storytimeonline.jpeg,Storytime Online Promotional Photo,Anneliese Trainer,2021-07-15,Photograph promoting Calvert Library's Storytime Online virtual program.,Calvert Library;promotion;childrens;storytime,"Solomons, Maryland",id0007,Image;StillImage,image/jpeg
coll008,lettersbulletinboard.jpeg,Letter Recognition Bulletin Board,Anneliese Trainer,2018-10-30,Interactive children's bulletin board encouraging letter recognition in Calvert Library Prince Frederick.,bulletin boards;Calvert Library;activities;childrens;childrens,"Prince Frederick, Maryland",id0008,Image;StillImage,image/jpeg
coll009,blackhistorydisplay.jpeg,Black History Month Book Display,Anneliese Trainer,2022-02-25,Photograph of a book display highlighting children's Black History Month titles at Calvert Library Twin Beaches.,displays;promotion;Calvert Library;EDI;childrens,"Chesapeake Beach, Maryland",id0009,Image;StillImage,image/jpeg
coll010,presidentsdaydisplay.jpeg,President's Day Book Display,Anneliese Trainer,2022-02-25,Photograph of a book display highlighting children's President's Day titles at Calvert Library Twin Beaches.,displays;promotion;Calvert Library;EDI;childrens,"Chesapeake Beach, Maryland",id0010,Image;StillImage,image/jpeg
coll011,isurvived.jpeg,"I Survived the Japanese Tsunami of 2011, Bonus Bites Promotional Photo",Anneliese Trainer,2021-05-24,"Photograph promoting the virtual ""Bonus Bites"" program for the book ""I Survived the Japanes Tsunami of 2011"" ",Book Bites;Bonus Bites;childrens;recommendations;activities;EDI;Calvert Library,"Prince Frederick, Maryland",id0011,Image;StillImage,image/jpeg
